01_prenom;02_genre;03_langage;04_fréquence;05_signification
rudy;m;english;0.10;Loup renommé (germanique).
rudyard;m;english;0.22;"D'un nom de famille qui était d'un nom d'endroit(de place) signifiant ""la cour(le yard) rouge"" en Vieil anglais."
rue;f;english;257.57;Du nom de l'herbe médicinale amère(endurcie), tirant en fin de compte de grec ' (rhyte).
rufina;f;russian, ancient roman;0;Forme féminine de RUFINUS.
rufino;m;italian, spanish, portuguese;0.06;Italien, forme espagnole et portugaise de RUFINUS.
rufus;m;ancient roman, english, biblical;17.30;Roux (latin).
ruggero;m;italian;1.27;Célèbre guerrier (germanique).
ruggiero;m;italian;0.13;Forme italienne de ROGER.
rui;m;portuguese;0.03;
rukmini;f;indian;0;
runa;f;scandinavian;0.03;Forme de vieux norrois de RUNA.
rune;m;scandinavian;0;"Tiré de Vieux norrois r ú N signification ""connaissance secrète""."
rupert;m;german, dutch, english;0.06;Brillant, gloire (germanique).
ruperta;f;spanish;0;Espagnol forme féminine de RUPERT.
rupinder;f;indian;0;"signifie ""la beauté la plus grande(super)"" du Sanscrit (rupa) ""la beauté"" combinée avec le nom de Dieu hindou INDRA, utilisé ici pour signifier ""le plus grand""(super"")."
ruqayya;f;arabic;0;Variante du transcription Ruqayyah.
rurik;m;russian;0.06;Forme russe de l'HRŒREKR Norse ancien nom.
ruslan;m;russian;0;Signification d'inconnu, probablement d'origine Turkic.
russ;m;english;0.10;Comme un renard (anglo-saxon).
russel;m;english;0.61;Variante de Russell.
russell;m;english;2.13;"D'un nom de famille qui a signifié ""peu rouge un"" en français."
rustam;m;iranian;0;La transcription Variante du ROSTAM.
rusty;m;english;0;D'un surnom que l'on a à l'origine donné à quelqu'un avec un rouillé, ou le brun rougeâtre, la couleur des cheveux(la coloration).
rut;f;swedish, german, italian, spanish, polish;1.56;Apparenté de RUTH.
ruta;f;lithuanian;0;Forme polonaise de Ruth.
rutger;m;dutch;0;Forme hollandaise de ROGER.
ruth;f;english, german, scandinavian, biblical;1.98;Compagne, amie (hébreu).
ruthie;f;english;0;Diminutif de RUTH.
ruuben;m;finnish;0;Forme finlandaise de REUBEN.
ruud;m;dutch;0;Forme courte hollandaise de RUDOLF.
ruxandra;f;romanian;0;Forme roumaine de ROXANA.
ruy;m;spanish;0.80;Forme courte portugaise et espagnole médiévale de RODRIGO.
ryan;m,f;irish, english;0.19;Petit roi (irlandais).
ryana;f;english;0;Variante féminine de RYAN.
ryanne;f;english;0;Variante féminine de RYAN.
rylan;m;english;0;"Peut-être une variante du nom de famille anglais Ryland, qui a été à l'origine dérivé d'un ""terrain de seigle"" nom de lieu signification en vieil anglais."
rylee;f;english;0;Variante féminine d'AGACÉS.
ryley;m;english;0;Variante du RILEY.
ryo;m;japanese;0;Variante du transcription Ryou.
ryota;m;japanese;0;Variante du transcription RYOUTA.
ryszard;m;polish;0;Forme polonaise de RICHARD.
saara;f;finnish;0;Forme finlandaise de SARAH.
sabah;f;arabic;0;Beauté fraîche comme le matin (arabe).
sabas;m;;0;"Vient de l'hébreu ""Saba"" Nom d'un peuple sud arabique. Se fête le 24 avril."
sabeen;f;arabic;0;"signifie ""disciple d'une autre religion"" en arabe."
sabella;f;english;0;Forme abrégée d'Isabelle.
sabia;f;irish;0;Forme Latinisée de SADB.
sabina;f;english, italian, spanish, portuguese, romanian, polish, czech;0.03;Habitante d'Italie centrale (latin).
sabine;f;french, german;4.84;Habitante d'Italie centrale (latin).
sabino;m;italian;0.03;Habitant d'Italie centrale (latin).
sabrina;f;english, italian;0;Cactus épineux (hébreu). Autre étymologie possible : se rapporte à Severn, nom d'une rivière du Pays de Galles en laquelle la princesse Sabrina se serait noyée.
saburo;m;japanese;0;Japon : troisième né masculin.
sacha;m,f;french;1.53;Défense de l'humanité (grec).
sachairi;m;scottish;0;Forme écossaise de Zacharie.
sacheverell;m;english;0;D'un nom de famille qui a été tiré d'un nom d'endroit(de place) normand.
sachie;m;english;0;Diminutif de SACHEVERELL.
sachiko;f;japanese;0;
sachin;m;indian;0;"signifie ""purs"" en Sanscrit."
sa'd;m;arabic;0;"signifie ""purs"" en Sanscrit."
sadaf;f;arabic;0;"Signifie ""le coquillage"" en l'arabe."
sadb;f;irish;0;"signifie ""bonbon, gracieux"" en Gaélique irlandais."
saddam;m;arabic;0;"signifie ""celui qui confronte"" en l'arabe."
sadhbh;f;irish;0;Forme irlandaise moderne de SADB.
sa'dia;f;arabic;0;Forme irlandaise moderne de SADB.
sadie;f;english;0;Diminutif de SARAH.
saffie;f;english;0;
saffron;f;english;0;Du mot anglais qui se réfère à une épice, la fleur de crocus de lequel il est récolté, ou la couleur jaune-orange de l'épice.
safira;f;esperanto;0;"signifie ""comme un saphir"" en Espéranto."
sage;f,m;english;21.69;Du sage(De la sauge) de mot anglais, qui dénote l'un ou l'autre un type d'épice ou bien une personne sage.
sahar;f;arabic;0;"Signifie ""l'aube"" en l'arabe."
saibh;f;irish;0;Variante du SADB.
sa'id;m;arabic;0;Variante du SADB.
sa'ida;f;arabic;0;Variante du SADB.
saiful;m;arabic;0;"Première partie de noms arabes composés commençant par (Sayf Al-) signification ""épée du"" (comme SAIF-AL-DIN)."
saifullah;m;arabic;0;"signifie ""épée de Dieu"" d'arabe (sayf) ""épée"" combinée avec (Allah) ""Dieu""."
sakari;m;finnish;0;Forme finlandaise de ZECHARIAH.
sakhr;m;arabic;0;"signifie ""roche(rock) solide"" en arabe."
saki;f;japanese;0;
saku;m;finnish;0;Diminutif de SAKARI.
sakura;f;japanese;0;Japon : fleur de cerise.
sal;f,m;english;0.03;Forme abrégée de Sally, SALVADOR, et les autres noms commençant par Sal.
salacia;f;roman mythology;0;"Tiré de sel latin signifiant ""sel""."
salah;m;arabic;1.66;Bon, vertueux (arabe).
salal;f,m;english;0;
salamon;m;hungarian;0.03;Forme hongroise de SOLOMON.
saleem;m;indian;0;La transcription Variante du SALIM.
saleh;m;arabic;0;La transcription Variante du SALIH.
salena;f;;0;
salha;f;arabic;0;Forme féminine de SALIH.
salih;m;arabic;0;"signifie ""vertueux"" en arabe."
salim;m;arabic;0;Pur, intact, en sécurité (arabe).
salima;f;arabic;0.06;Pure, intacte, en sécurité (arabe).
salina;f;;0;Peut-être un nom de fantaisie basée sur consonance similaire des noms tels que SELINA.
salli;f;finnish;0;Forme finlandaise de SALLY.
sallie;f;english;0;Diminutif de SARAH.
sally;f;english;0.76;Princesse (hébreu).
salma;f;arabic;0.03;Intacte, saine (arabe).
salman;m;;0;"Signifie ""le coffre-fort"", tiré de l'arabe (salima) ""être sûr""."
salome;f;english, german, biblical;0;Pacifique, calme (hébreu).
salomea;f;polish;0;Forme polonaise de SALOME.
salomon;m;finnish;2.99;Pacifique, calme (hébreu).
salud;f;spanish;0.16;Apparenté espagnole de SALUT.
salut;f;catalan;46.77;"Signifie ""la santé"" ou ""acclame"" en Catalan."
salvador;m;spanish;2.48;Sauveur (latin).
salvalus;m;;0;
salvatore;m;italian;0.03;Sauveur (latin).
sam;m,f;english;6.37;Son nom est Dieu (hébreu).
samanta;f;italian;0;Celle qui écoute (araméen).
samantha;f;english;0;Celle qui écoute (araméen).
samara;f;english;0;Conversation intime pendant la nuit (arabe).
sameer;m;arabic;0;La transcription Variante du SAMIR.
sameera;f;arabic;0;La transcription Variante du SAMIRA.
sami;m;hungarian, finnish;0.03;noble.
samina;f;arabic;0;Variante du transcription THAMINA.
samir;m;arabic;0.03;Conversation intime pendant la nuit (arabe).
samira;f;arabic;0;Conversation intime pendant la nuit (arabe).
sammi;f;english (modern);0;Diminutif de SAMANTHA.
sammie;m,f;english;0;Diminutif de SAMUEL, SAMSON ou SAMANTHA.
sammy;m,f;english;1.31;Son nom est Dieu (hébreu).
samnang;m,f;khmer;0;"signifie ""chanceux"" en Khmer."
samoyla;m;russian;0;
sampson;m;english;0;La forme grecque de Shimshon (voir SAMSON).
samson;m;biblical, english;0.83;Soleil (hébreu).
samu;m;hungarian;0.22;Diminutif hongrois et finlandais de SAMUEL.
samuel;m;english, french, biblical;9.30;Son nom est Dieu (hébreu).
samuela;f;italian;0;Forme féminine de SAMUEL.
samuele;m;italian;0;Exaucée de Dieu (hébreu).
samuil;m;russian;0;Forme russe et bulgare de Samuel.
samuli;m;finnish;0;Forme finlandaise de SAMUEL.
san;m,f;chinese;14.34;Chine : Trois.
sana;f;arabic;1.18;Elévation, élégance (arabe).
sana';f;arabic;0;Chine : Trois.
sanaz;f;iranian;0;Peut-être signifie «pleine de grâce» en persan.
sancha;f;spanish;0;Forme féminine de SANCHO.
sanchia;f;spanish;0;Forme féminine de SANCHO.
sancho;m;spanish;0.29;Saint (latin).
sanda;f;romanian;0.06;Roumaine forme courte de ALEXANDRA.
sandalio;m;spanish;0;"Forme espagnole de Sandalius, une forme latinisée du nom Sandulf gothique qui signifie «vrai loup» à partir de sable ""vrai"" et Ulf «loup»."
sandeep;m;indian;0;Variante du transcription Sandip.
sandford;m;english;0.03;
sandhya;f;indian;0;
sandie;f;english;0;Défense de l'humanité (grec).
sandra;f;italian, english;4.01;Défense de l'humanité (grec).
sandrine;f;french;0.41;Défense de l'humanité (grec).
sandro;m;italian;0.29;Défense de l'humanité (grec).
sandu;m;romanian;0;Forme abrégée d'Alexandru.
sandy;f,m;english;0.22;Défense de l'humanité (grec).
sanford;m;english;0;"D'un nom de famille anglais, à l'origine d'un nom d'endroit(de place), qui a signifié ""le gué de sable"" en Vieil anglais."
sango;f;japanese;0;"Signifie ""le corail"" en japonais."
sani;m;arabic;0;"signifie ""brillant, splendide"" en arabe."
saniyya;f;arabic;0;Forme féminine de SANI.
sanjay;m;indian;0;triomphe.
sanjeet;m;indian;0;Variante du transcription Sanjit.
sanjeev;m;indian;0;La transcription Variante de Sanjiv.
sanjit;m;indian;0;"signifie ""complètent(achèvent) la victoire, invincible"" en Sanscrit."
sanjiv;m;indian;0;"Tiré de Sanscrit (sanjiva) signification ""vie, ranimation""."
sankar;m;indian;0;La transcription Variante du SHANKAR.
sanna;f;scandinavian;0;Suédoise forme courte de Susanna.
sanne;f;dutch;0;Forme courte hollandaise et danoise de SUSANNA.
sans;m;;1715.23;Variante ancienne de SANCHO.
sansone;m;italian;0.03;Forme italienne de SAMSON.
santa;f;italian;2.39;Forme féminine de SANTO.
santeri;m;finnish;0;Forme courte finlandaise d'ALEXANDER.
santiago;m;spanish;1.66;Forme de Jacques ou de Diego.
santino;m;italian;0;Diminutif de SANTO.
santo;m;italian;0.67;Saint (latin).
santos;m;spanish;0.41;"Signifie ""des saints"" en espagnol."
santuzza;f;italian;0.03;Diminutif de SANTA.
sanya;f;arabic;0;Variante du transcription SANIYYA.
saoirse;f;irish;0;"Signifie ""la liberté"" en Gaélique irlandais."
sapphira;f;biblical, english;0;"Du nom grec (Sappheire), qui était de grec (sappheiros) la signification ""du saphir"" ou ""lapis lazuli"" (en fin de compte tiré du mot hébreu (sappir))."
sapphire;f;english;0;Du nom de la pierre précieuse, la pierre porte-bonheur bleue de septembre, qui est tiré de grec (sappheiros), en fin de compte du mot hébreu (sappir).
sappho;f;ancient greek;0.03;
sara;f;arabic, greek, spanish, italian, portuguese, scandinavian;0.16;Princesse (hébreu).
sarah;f;english, french, german, biblical;9.02;Princesse (hébreu).
sarahjeanne;f;english (modern);0;
sarai;f;biblical;0;Princesse (hébreu).
saraid;f;irish;0;"signifie ""excellents"" en Gaélique irlandais."
saranna;f;english;0;Combinaison de SARAH et ANNA, en utilisation occasionnelle depuis le 18ème siècle.
saraswati;f;indian, hindu mythology;0;"signifie ""possession d'eau"" de Sanscrit (saras) ""liquide, eau, lac"" et (vati) ""possession""."
sarava;m;;0;"D'une expression utilisée par les membres de la religion Candomblé (une religion africaine qui a été prise(emmenée) au Brésil par des esclaves africains) qui signifie ""la bonne chance""."
sari;f;finnish;0.13;Diminutif hongrois de SARAH.
sariah;f;english;0;Peut-être à partir d'une lecture alternative de l'hébreu (voir Seraja).
sarina;f;english;0;Signification d'inconnu, peut-être un diminutif de SARA ou une variante de SERENA.
sarita;f;spanish;0;
sarosh;m;;0;"Forme persane moderne d'Avestan Sraosha signification ""d'obéissance""."
sarra;f;english;0;Forme grecque et latine biblique de SARAH.
sascha;m,f;german;0;Forme allemande de SASHA.
sasha;m,f;russian;0;Défense de l'humanité (grec).
sashi;m;indian;0;La transcription Variante du SHASHI.
saskia;f;dutch;0.25;"De l'élément Germanique sachs ""Saxon""."
sassa;f;swedish;0;Suédoise diminutif de ASTRID, ALEXANDRA ou Sarah.
satchel;m,f;english;0;"D'un nom de famille tiré du Vieil anglais sacc la signification ""le sac, ensachez"" référant à une personne qui était un fabricant de sac."
satish;m;indian;0;"signifie ""lord(seigneur) de Sati"" du nom de la déesse hindoue SATI combiné avec ""dirigeant""(""règle"") (isha)."
satu;f;finnish;0;
saturn;m;roman mythology;0;Du latin Saturnus, qui a de signification inconnue.
saturnina;f;ancient roman, spanish;0;Forme féminine de SATURNINUS.
saturnino;m;spanish, italian, portuguese;0;Espagnol, italien et portugais sous forme de Saturninus.
saturninus;m;ancient roman;0;Roman surnom dérivé du nom du dieu romain de la Saturnus (voir SATURN).
sauda;f;african;0;"signifie ""teint sombre"" en swahili."
saul;m;biblical, jewish;0.10;"Nom juif de Paul avant sa conversion. Vient du latin ""paulus"" Signifie : ""petit, faible"" Se fête le 29 juin."
saule;f;lithuanian;1.62;Forme lettonne de SAUL.
saundra;f;scottish;0;Forme écossaise de Sandra.
sava;m;russian;0;Forme serbe et bulgare de SABAS.
savalus;m;;0;
savanna;f;english;0;Variante de Savannah.
savannah;f;english;0.22;Grande plaine verdoyante (espagnol).
savas;m;turkish;0;
saveli;m;russian;0;Variante du transcription SAVELIY.
saverio;m;italian;0.16;Forme italienne de XAVIER.
savino;m;italian;0;La forme variable italienne de Sabinus (voir SABINA).
savio;m;italian;0;"signifie ""intelligent, brillant"" en italien."
savitri;f;indian;0;
sawney;m;scottish;0;Forme écossaise de Sandy.
sawyer;m;english;0.06;"D'un nom de famille signifiant ""sawer de bois"" en Moyen anglais."
sawyl;m;welsh;0;Forme galloise de SAMUEL.
saxon;m;english;2.04;
sayuri;f;japanese;0;
sayyid;m;arabic;0;"signifie ""lord(seigneur), maître"" en arabe."
scarlet;f;english;0.03;L'un ou l'autre une variante de SCARLETT ou bien du mot anglais pour la couleur rouge.
scarlett;f;english;0.13;D'un nom de famille qui a dénoté une personne qui a vendu ou a fait des vêtements faits d'écarlate (une sorte de tissu, en fin de compte tiré de persan (sakhrilat)).
scevola;m;italian;0.06;"La forme italienne du nom de famille romain Scaevola, qui a été tiré du latin scaevus ""gaucher""."
scheherazade;f;arabic;0.10;Forme Anglicisée de SHAHRAZAD.
schwanhild;f;;0;Variante du Swanhild.
scilla;f;;0;Version courte de PRISCILLA.
scot;m;english, scottish;0.35;Variante de SCOTT.
scott;m;english, scottish;2.58;Ecossais (celte).
scottie;m;english, scottish;0;Diminutif de SCOTT.
scotty;m;english, scottish;0;Diminutif de SCOTT.
scout;f;english;1.82;Du scout de mot anglais.
seachnall;m;irish;0;Peut-être une forme irlandaise de Secundinus.
seaghdh;m;scottish;0;Forme écossaise de SÉAGHDHA.
seamour;m;english;0;
sebastiaan;m;dutch;0;La forme hollandaise de Sebastianus (voir SEBASTIAN).
sebastian;m;english, german;0.19;Respecté, vénéré (grec).
sebastiana;f;italian;0;La forme féminine italienne de Sebastianus (voir SEBASTIAN).
sebastiano;m;italian;0.13;Respecté, vénéré (grec).
sebestyen;m;hungarian;0;La forme hongroise de Sebastianus (voir SEBASTIAN).
sechnall;m;irish;0;Variante du SEACHNALL.
secundinus;m;ancient roman;0;Nom de famille romaine provenant de la SECUNDUS praenomen.
secundus;m;ancient roman;0;Roman praenomen, ou le nom donné, ce qui signifie «deuxième» en latin.
seeta;f;indian;0;Variante de la transcription de la SITA.
seetha;f;indian;0;Variante de la transcription de la SITA.
sefton;m;english;0;"D'un nom de famille qui a été tiré d'un nom d'endroit(de place) signifiant ""la ville ens ruées(joncs)"" en Vieil anglais."
sefu;m;african;0;"Signifie ""l'épée"" en swahili, en fin de compte de l'arabe (sayf)."
sekar;m;indian;0;Variante de la transcription de Shekhar.
sekel;m;jewish;0;Diminutif de ISAAC yiddish.
sela;f;biblical;0.03;
selby;m,f;english;0.03;"D'un nom de famille anglais qui était d'un nom d'endroit(de place) signifiant ""la ferme de saule"" en Vieux norrois."
selena;f;greek mythology (latinized);0;Solennelle (latin).
selene;f;greek mythology, greek, english;0;Solennelle (latin).
selig;m;jewish;0;"signifie ""béni, heureux"" en Yiddish."
selim;m;turkish;0.35;Pur, intact, en sécurité (arabe).
selima;f;english;0;La transcription Variante du SALIMA.
selina;f;russian;0;Lune (grec).
selma;f;english;0.48;Intacte, saine (arabe). Protection divine (germanique).
selvaggia;f;italian;0;
selwyn;m;english;0;"D'un nom de famille qui a été à l'origine tiré d'un Vieil anglais le nom donné, qui a été formé des éléments sele ""le manoir"" et ""l'ami"" de vin."
semele;f;greek mythology;0;Signification d'inconnu, probablement d'origine Phrygian.
semyon;m;russian;0;Forme russe de SIMON.
senan;m;irish;0;Forme Anglicisée de SEAN…N.
sence;f;;0;Variante du Vieux Sanchia.
sender;m;jewish;0;Forme yiddish de ALEXANDER.
seneca;m;ancient roman, english;0;"D'un nom de famille romain qui a signifié ""vieux"" du latin senectus."
senga;f;scottish;0;"Parfois, a expliqué que l'anagramme de AGNES, mais plus probablement dérivé du gaélique Seang ""mince""."
sens;f;;331.35;Variante ancienne de Sancha.
seoc;m;scottish;0;Écossaise forme gaélique de JACK.
seoirse;m;irish;0;Forme irlandaise de GEORGE.
seona;f;scottish;0;Forme Anglicisée de SEONAG ou SE Ò NAID.
seonag;f;scottish;0;Forme écossaise de JOAN.
seosamh;m;irish;0;Forme irlandaise de JOSEPH.
sepp;m;german;0;Diminutif allemand de JOSEPH.
seppel;m;german;0;Diminutif allemand de JOSEPH.
seppo;m;finnish;0;"Tiré de sepp finlandais ä ""forgeron""."
september;f,m;english;0;"Du nom du neuvième mois (quoique cela signifie ""le septième mois"" en latin, puisque(depuis que) c'était à l'origine le septième mois de l'année romaine), qui est parfois utilisé comme un nom donné pour quelqu'un né en septembre."
septima;f;ancient roman, spanish;0;Forme féminine de SEPTIMUS.
septimus;m;ancient roman;0.03;Nom romain qui signifie «septième» en latin.
sequoia;f;english;0.13;Du nom des arbres énormes qui grandissent en Californie.
sera;f;english;250.72;Une variante de SARAH ou une forme courte de SERAPHINA.
serafima;f;russian;0;Forme russe et macédonienne de Séraphine.
serafina;f;italian;0;Ardente (hébreu).
serafino;m;italian;0;Ardent (hébreu).
seraphina;f;english, german;0;"La forme féminine du Dernier(Tardif) nom latin Seraphinus, tiré du séraphin de mot biblique qui était hébreu en l'origine et a signifié ""des ardents""."
seraphine;f;french;0;Ardente (hébreu).
seren;f;welsh;0;"Signifie ""l'étoile""(""la star"") en gallois."
serena;f;english, italian;0;Sereine (latin).
serenity;f;english;0;"Du mot anglais signifiant ""sérénité, tranquillité"", en fin de compte de latin Serenus signifiant ""clair, calme""."
serge;m;french;10.29;Servir (latin).
sergei;m;russian;0;Servir (latin).
sergio;m;italian, spanish, portuguese;1.24;Servir (latin).
sergius;m;ancient roman;0.13;Nom de famille romain, signifiant peut-être «serviteur» en latin, mais probablement d'origine étrusque inconnu.
serhat;m;turkish;0;"Signifie ""la frontière"" en turc."
serina;f;english;0;Variante de SERENA.
serrena;f;english;0;Variante de SERENA.
servius;m;ancient roman;0.10;"Roman praenomen, ou donné le nom, qui signifie «pour préserver"" de servo latine."
sesto;m;italian;0;Forme italienne de SEXTUS.
set;m;egyptian mythology;1.75;Variante du SETH.
seth;m;biblical, english, egyptian mythology (hellenized);0;"signifie ""placés""(""situés"") ou ""nommés"" en Hébreu."
sethunya;f;african;0;"signifie ""la fleur, fleurissez"" en Tswana."
seumas;m;scottish;0;Forme écossaise de JAMES.
sevan;f,m;armenian;0;Nom d'un lac d'Arménie (arménien).
sevastian;m;russian;0;Forme russe du SEBASTIAN.
sevastyan;m;russian;0;Variante du transcription Sevastian.
seve;m;spanish;0;Espagnole diminutif de SEVERIANO ou SEVERINO.
severiano;m;italian, spanish;0;La forme italienne et espagnole du nom de famille romain Severianus, qui a été tiré de SEVERUS.
severin;m;german;0;Grave, sérieux (latin).
severina;f;italian, portuguese, croatian, german, ancient roman;0.22;Forme féminine de SEVERINUS.
severino;m;italian, spanish, portuguese;0.10;Italien, forme espagnole et portugaise de SEVERINUS.
severo;m;italian, spanish;0;Grave, sérieux (latin).
seward;m;english;0.10;"D'un nom de famille qui a été tiré d'un Vieil anglais le nom donné, lui-même tiré des éléments sige ""la victoire"" et weard ""la garde""."
sextus;m;ancient roman;0.03;Roman praenomen, ou le nom donné, ce qui signifie «sixième» en latin.
seymour;m;english;0.03;"D'un nom de famille normand qui a à l'origine appartenu à une personne venant de la ville française de Saint Maur (qui signifie ""MAURUS Saint"")."
shachar;f,m;jewish;0;"Signifie ""l'aube"" en l'Hébreu."
shad;m;;0;"signifie ""heureux"" en arabe."
shadi;m;arabic, iranian;0;"Signifie ""le chanteur"" en l'arabe."
shadrach;m;biblical;0;"signifie ""commande d'Aku"" en Akkadian, Aku étant le nom de Dieu babylonien de la lune."
shadya;f;arabic;0;Variante du transcription Shadiya.
shae;m,f;english;0;Variante féminine de KARITÉ.
shaelyn;f;english;0;Combinaison de SHAE et LYNN.
shafiq;m;arabic;0;"signifie ""compatissants"" en arabe."
shafiqa;f;arabic;0;Forme féminine de SHAFIQ.
shahar;f,m;jewish;0;Variante du transcription Shachar.
shahira;f;arabic;0;"signifie ""renommés"" en arabe."
shahjahan;m;arabic;0;"signifie ""roi du monde"" des éléments persans (schah) ""roi"" et ""monde"" (jahan)."
shahnaz;f;iranian, arabic;0;"signifie ""fierté du roi"" des éléments persans (schah) ""roi"" et (naz) ""fierté""."
shahpur;m;;0;Variante de la transcription de Chapour.
shahrazad;f;arabic;0;"signifie ""libèrent la ville"" des éléments persans (shahr) ""la ville"" et (azad) ""libre""(""gratuit"")."
shahriar;m;iranian;0;Variante de la transcription de Shahriyar.
shahrizad;f;arabic;0;La transcription Variante du Shahrazad.
shahrokh;m;iranian;0;"signifie ""visage royal"" en persan."
shahzad;m;arabic;0;"signifie ""prince, fils du roi"" en persan."
shai;m;jewish;0;"Signifie ""le cadeau"" en l'Hébreu."
shaina;f;jewish;0;Belle (yiddish).
shaindel;f;jewish;0;Diminutif de SHAYNA.
shakir;m;arabic;0;"signifie ""reconnaissants"" en arabe."
shakira;f;arabic;0;Présent le plus désiré (arabe).
shakti;f;indian;0;
shakuntala;f;indian;0;"Tiré de Sanscrit (shakunta) signification ""d'oiseau""."
shalom;m;jewish;0.25;"Signifie ""la paix"" en l'Hébreu."
shama;f;arabic;0;
shamgar;m;biblical;0;"Peut-être signifie ""épée"" en hébreu. Shamgar a été l'un des juges de l'Ancien Testament."
shamira;f;jewish;0;"signifie ""gardien(tuteur), protecteur"" en Hébreu."
shamus;m;irish;0;Forme Anglicisée de SÉAMUS.
shan;f;english;0.13;Chine : Corail.
shana;f;english;0;Dieu fait grâce (hébreu).
shandar;m;indian;0;"signifie ""fabuleux"" en Urdu."
shane;m;irish, english;0.03;Forme Anglicisée de SE…N.
shanelle;f;english (modern);0;Variante de CHANEL.
shanene;f;english (modern);0;Combinaison des éléments de nom populaires Shan et ene.
shania;f;english (modern);0;
shanice;f;english (modern);0;Combinaison des éléments de nom populaires Shan et glace.
shanika;f;english (modern);0;Combinaison des éléments de nom populaires Shan et ka.
shankar;m;indian;0.03;Transcription moderne de SHANKARA.
shankara;m;indian;0;"Tiré des éléments Sanscrits (supercherie) ""propice, chanceux"" et (kara) ""fabrication""."
shanna;f;english;0;Dieu fait grâce (hébreu).
shannah;f;english;0;Variante du SHANNA.
shannon;f,m;english;0.80;Expérience, sagesse (irlandais).
shanta;f;indian;0;"signifie ""pacifié, calme"" en Sanscrit."
shantae;f;english;0;Variante de Chante.
shantel;f;english;0;Variante du Chantel.
shantelle;f;english;0;Variante du Chantel.
shanti;f;indian;0;
shaquille;m;arabic;0;Variante du Shakil.
sharalyn;f;english (modern);0;Variante du Cherilyn.
shareef;m;indian;0;La transcription Variante du SHARIF.
shari;f;english;0;Diminutif de SHARON ou une variante de XÉRÈS.
sharif;m;arabic;0.03;"signifie ""éminent, vertueux"" en arabe."
sharifa;f;arabic;0;Forme féminine de SHARIF.
sharise;f;english (modern);0;Variante du Charisse.
sharla;f;english;0;Variante du Charla.
sharleen;f;english;0;Variante du CHARLENE.
sharlene;f;english;0;Variante du CHARLENE.
sharma;m;indian;0;"signifie ""protection, confort, joie"" en Sanscrit."
sharmaine;f;english;0;Variante du CHARMAINE.
sharmila;f;indian;0;
sharon;f,m;english, biblical;0;Plaine déserte (hébreu).
sharona;f;english;0;Forme Élaborée de SHARON.
sharron;f;english;0;Variante du SHARON.
sharyl;f;english (modern);0;Variante de Cheryl.
sharyn;f;english (modern);0;Variante du SHARON.
shashi;m;indian;0.03;"Nom traditionnel de la lune, il signifie littéralement ""avoir un lièvre» en sanskrit."
shaun;m;english;0;Forme Anglicisée de SE…N.
shauna;f;english;0;Forme féminine de SHAUN.
shavonne;f;irish, english;0;Forme Anglicisée de SIOBHAN.
shaw;m;english;1.53;"D'un nom de famille qui a été tiré du Vieil anglais sceaga la signification ""du fourré""."
shawn;m,f;english;0;Dieu fait grâce (hébreu).
shawna;f;english;0;Forme féminine de SHAWN.
shawnda;f;english;0;Variante du Shonda.
shawnee;f;english;0;"signifie ""les gens(le peuple) du sud"" en la langue Algonquine."
shay;m,f;irish, english, jewish;0;Forme Anglicisée de SÉAGHDHA.
shayla;f;english (modern);0;Variante du SHEILA, influencé par l'orthographe et le son de Kayla.
shayna;f;jewish;0;Belle (yiddish).
shaynah;f;jewish;0;La transcription Variante du Shayna.
shea;m,f;irish;0;Forme Anglicisée de SÉAGHDHA, parfois utilisé comme un nom féminin.
sheamus;m;irish;0;Forme Anglicisée de SÉAMUS.
sheard;m;english;0;"D'un nom de famille qui était à l'origine d'un nom d'endroit(de place) signifiant ""l'écart(le trou) entre des collines"" en Vieil anglais."
sheba;m;biblical;0;
sheela;f;indian;0;Variante du transcription Shila.
sheelagh;f;english (modern);0;Variante du SHEILA.
sheena;f;scottish, english;0;Forme Anglicisée de S Ì NE.
sheenagh;f;english (modern);0;Variante de Sheena.
sheherazade;f;arabic;0;Forme Anglicisée de SHAHRAZAD.
shehrevar;m;;0;
sheila;f;irish, english;0.06;Aveugle (latin). Se rapporte également au patronyme Caecili, nom d'une famille aristocrate romaine ayant vécu au premier siècle.
sheine;f;jewish;0;Variante du Shayna.
shekhar;m;indian;0;"signifie ""la crête, atteignez un niveau maximal"" en Sanscrit."
shelagh;f;english;0;Variante du SHEILA.
shelby;m,f;english;0;D'un nom de famille, qui était probablement une variante de SELBY.
sheldon;m;english;0.19;"D'un nom de famille qui a été à l'origine tiré d'un nom d'endroit(de place) signifiant ""la vallée avec des côtés raides"" en Vieil anglais."
shelena;f;;0;Probablement une combinaison du préfixe Elle et Lena.
shelia;f;;0;Variante du SHEILA.
shell;f,m;english;1.18;Forme abrégée de Michelle ou de Shelley.
shelley;f;english;0.22;"D'un nom de famille qui a été à l'origine tiré d'un nom d'endroit(de place) signifiant ""dégageant sur une banque(rive)"" en Vieil anglais."
shelly;f;english;0.03;
shem;m;biblical;0;"signifie ""nomment"" en l'Hébreu."
shena;f;;0;Variante de Sheena.
sheona;f;;0;Variante du SHONA.
sher;m;arabic;0;"Signifie ""le lion"" en persan."
sherah;f;biblical;0;"Signifie ""la parente"" en l'Hébreu."
sheree;f;english;0;
shereen;f;iranian;0;Variante de la transcription de Shirin.
sheri;f;english;0;Variante de sherry.
